key_bits,impl,regime,throughput_mbps
128,AES-128,single,10355.99
256,AES-256,single,7920.79
256,R256-folded,single,4180.27
128,AES-128,x2,12987.01
256,AES-256,x2,9691.10
256,R256-folded,x2,5709.19
128,AES-128,x4,15223.59
256,AES-256,x4,11713.03
256,R256-folded,x4,6510.68
128,AES-128,x8,17075.77
256,AES-256,x8,12841.09
256,R256-folded,x8,2523.46
