benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.899124,5.167237,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.775636,5.201222,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.767593,5.203451,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.858519,5.178363,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.215581,80.337108,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.130560,86.378652,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.194298,81.768774,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.237216,78.932256,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.551974,62.923880,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.378067,70.864650,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.515962,64.418681,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.579622,61.822529,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.806755,54.050625,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.784291,54.731115,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.770598,55.154376,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.766298,55.288675,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.973142,49.492752,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.947760,50.137722,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.912608,51.059209,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.922851,50.787212,0.000000
