benchmark,section,variant,operation,device_name,compute_capability,data_bytes,num_blocks,search_range,threads_per_block,num_cuda_blocks,warmup,iterations,avg_ms,throughput_gib_s,keys_per_second
ecb,e2e,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.771930,5.202249,0.000000
ecb,e2e,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.788538,5.197650,0.000000
ecb,e2e,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.768448,5.203214,0.000000
ecb,e2e,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,2,5,18.697393,5.222988,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.221837,79.925775,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.134797,86.056155,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.203200,81.163774,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,128,0,3,10,1.247232,78.298386,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.562317,62.507329,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.378947,70.819429,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.512243,64.577081,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,256,0,3,10,1.576448,61.947018,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.805594,54.085396,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.777222,54.948805,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.767014,55.266247,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,512,0,3,10,1.762406,55.410746,0.000000
ecb,kernel,V2,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.975091,49.443920,0.000000
ecb,kernel,V2,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.947325,50.148929,0.000000
ecb,kernel,V3,encrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.912477,51.062713,0.000000
ecb,kernel,V3,decrypt,"NVIDIA GeForce RTX 4080",8.9,104857600,3276800,0,1024,0,3,10,1.912730,51.055961,0.000000
